DateTime;<TICKER>;<PER>;Open;High;Low;Close;Volume
2023-04-11 19:00:00;SBER;60;218.8;219.38;218.77;218.86;1350410
2023-04-11 20:00:00;SBER;60;218.85;218.89;218.08;218.66;2241260
2023-04-11 21:00:00;SBER;60;218.7;220.0;218.66;219.7;2045940
2023-04-11 22:00:00;SBER;60;219.75;219.8;219.01;219.03;873110
2023-04-11 23:00:00;SBER;60;219.04;219.04;218.59;218.6;1187360
2023-04-12 10:00:00;SBER;60;218.62;219.7;216.67;218.05;15732750
2023-04-12 11:00:00;SBER;60;218.04;218.55;217.66;218.2;5231220
2023-04-12 12:00:00;SBER;60;218.21;218.73;217.4;218.27;4640130
2023-04-12 13:00:00;SBER;60;218.27;219.37;218.26;219.05;4026820
2023-04-12 14:00:00;SBER;60;219.06;219.35;218.76;219.35;2890690
2023-04-12 15:00:00;SBER;60;219.35;219.51;218.87;219.43;2874580
2023-04-12 16:00:00;SBER;60;219.42;219.59;218.9;218.91;2077640
2023-04-12 17:00:00;SBER;60;218.93;219.59;218.86;219.28;2322010
2023-04-12 18:00:00;SBER;60;219.29;219.3;218.25;218.7;2179120
2023-04-12 19:00:00;SBER;60;218.74;219.25;218.74;219.01;763460
2023-04-12 20:00:00;SBER;60;219.01;219.27;218.76;218.76;400570
2023-04-12 21:00:00;SBER;60;218.79;219.08;218.77;218.88;251450
2023-04-12 22:00:00;SBER;60;218.9;219.05;218.82;219.04;609320
2023-04-12 23:00:00;SBER;60;219.04;219.23;219.03;219.22;633440
2023-04-13 10:00:00;SBER;60;219.41;220.89;218.53;218.74;10874130
2023-04-13 11:00:00;SBER;60;218.75;219.26;218.1;218.99;5507900
2023-04-13 12:00:00;SBER;60;218.99;219.37;218.0;218.45;3640090
2023-04-13 13:00:00;SBER;60;218.45;218.88;218.15;218.42;1755860
2023-04-13 14:00:00;SBER;60;218.41;219.12;218.31;218.53;1864160
2023-04-13 15:00:00;SBER;60;218.53;219.23;218.42;219.21;2156860
2023-04-13 16:00:00;SBER;60;219.2;219.24;218.52;218.61;1546000
2023-04-13 17:00:00;SBER;60;218.62;218.97;218.5;218.97;1211220
2023-04-13 18:00:00;SBER;60;218.97;219.02;218.69;218.9;830710
2023-04-13 19:00:00;SBER;60;218.9;219.16;218.62;219.1;601890
2023-04-13 20:00:00;SBER;60;219.09;219.17;219.0;219.03;274130
2023-04-13 21:00:00;SBER;60;219.02;219.54;219.0;219.36;768070
2023-04-13 22:00:00;SBER;60;219.36;219.67;219.29;219.6;654930
2023-04-13 23:00:00;SBER;60;219.59;219.9;219.59;219.85;894600
2023-04-14 10:00:00;SBER;60;219.99;220.3;219.01;219.37;6191740
2023-04-14 11:00:00;SBER;60;219.37;219.37;218.51;218.96;3338400
